,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
20500,-118.7,34.3,27,1527,220,756,226,6.1825,<1H OCEAN
1001,-121.77,37.68,36,1687,372,950,372,3.5532,INLAND
19349,-123.01,38.67,33,914,147,394,132,4.6875,<1H OCEAN
14581,-117.19,32.82,35,2197,353,945,357,4.9219,NEAR OCEAN
13407,-117.48,34.09,32,3170,630,2612,580,3.6394,INLAND
12159,-117.11,33.78,13,1914,339,930,304,4.1875,INLAND
8495,-118.3,33.89,30,2756,858,1806,787,3.0329,<1H OCEAN
13118,-121.22,38.43,20,2054,339,934,336,4.5368,INLAND
10111,-117.94,33.94,25,3250,546,1452,501,5.1084,<1H OCEAN
16176,-122.4,37.75,26,54,9,23,9,6.1359,NEAR BAY
17855,-121.88,37.46,5,1819,245,802,228,10.9722,<1H OCEAN
13691,-117.24,34.13,24,1203,310,594,187,1.1522,INLAND
18754,-122.36,40.69,32,3611,772,2060,759,1.7427,INLAND
10432,-117.62,33.43,27,3858,1062,2321,873,3.3155,NEAR OCEAN
16018,-122.47,37.73,52,2134,277,936,285,5.9245,NEAR OCEAN
299,-122.17,37.76,38,1764,397,987,354,2.4333,NEAR BAY
2663,-123.75,40.11,35,2052,477,900,402,1.9625,<1H OCEAN
16472,-121.26,38.11,4,2058,366,933,316,4.2448,INLAND
12214,-117.12,33.49,4,21988,4055,8824,3252,3.9963,<1H OCEAN
10673,-117.85,33.62,13,5192,658,1865,662,15.0001,<1H OCEAN
19573,-120.95,37.62,11,4981,814,1934,686,3.7041,INLAND
9840,-121.92,36.61,21,1242,340,834,362,2.4922,NEAR OCEAN
16255,-121.25,37.98,39,1765,414,1056,414,1.5329,INLAND
3758,-118.37,34.18,35,2949,794,2106,746,2.9228,<1H OCEAN
3888,-118.55,34.21,35,2592,490,1427,434,5.0623,<1H OCEAN
5760,-118.29,34.17,52,1732,305,875,311,4.325,<1H OCEAN
7712,-118.15,33.96,33,2418,485,1397,477,3.1083,<1H OCEAN
8533,-118.35,33.89,34,1740,387,1249,375,4.1552,<1H OCEAN
17941,-121.94,37.33,37,1822,329,845,348,4.75,<1H OCEAN
16406,-121.18,37.99,31,2450,559,1459,478,2.4674,INLAND
18057,-122,37.27,33,1664,271,759,272,5.7876,<1H OCEAN
11355,-117.93,33.74,15,1206,282,677,270,3.9219,<1H OCEAN
9524,-123.17,39.18,14,2240,327,1030,308,5.9585,<1H OCEAN
10771,-117.9,33.65,24,4496,877,1928,855,4.6808,<1H OCEAN
19397,-120.83,37.79,16,893,164,548,155,3.6875,INLAND
12217,-116.99,33.46,13,1614,410,846,270,2.83,<1H OCEAN
4408,-118.23,34.09,49,1638,456,1500,430,2.6923,<1H OCEAN
16931,-122.31,37.57,42,3157,676,1603,629,3.7422,NEAR OCEAN
15756,-122.43,37.77,52,3563,832,1712,787,3.3702,NEAR BAY
965,-121.88,37.68,23,2234,270,854,286,7.333,INLAND
3211,-119.66,36.34,32,1338,276,859,286,2.6397,INLAND
9682,-118.97,37.64,14,1847,439,238,98,3.6042,INLAND
6990,-118.04,33.97,25,2945,914,2313,832,2.5686,<1H OCEAN
5433,-118.41,34.02,27,2224,618,1594,625,3.0833,<1H OCEAN
14160,-117.08,32.76,20,2547,785,1199,643,1.7743,NEAR OCEAN
17347,-120.33,34.87,24,2590,404,1093,338,3.9375,<1H OCEAN
5343,-118.44,34.04,31,2670,662,1535,631,3.0714,<1H OCEAN
2560,-124.14,40.8,32,1373,312,872,306,2.5,NEAR OCEAN
14549,-117.24,32.95,18,1591,268,547,243,5.9547,NEAR OCEAN
18381,-121.87,37.21,18,1080,122,382,121,9.08,<1H OCEAN
13602,-117.25,34.15,30,1770,380,990,348,3.3,INLAND
18667,-121.86,37,16,8638,1392,3706,1251,5.503,<1H OCEAN
1309,-121.83,38,8,2572,738,1384,684,1.7161,INLAND
5072,-118.31,33.98,52,1837,426,1062,343,2,<1H OCEAN
3524,-118.52,34.28,33,1975,271,801,287,7.8193,<1H OCEAN
14135,-117.07,32.75,9,3464,749,1687,645,3.3026,NEAR OCEAN
4943,-118.28,34.02,46,1098,426,1510,374,2.1382,<1H OCEAN
12110,-117.35,34.01,23,3707,769,1938,658,2.725,INLAND
4870,-118.28,34.03,40,2118,796,2195,658,1.7976,<1H OCEAN
17128,-122.14,37.47,37,3373,815,2909,705,2.8868,NEAR BAY
